,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
43,Hermanus,100,ZA,1554065197,99,-34.42,19.24,57.99,4.0
44,Letterkenny,20,IE,1554063600,66,54.95,-7.73,48.2,12.75
45,Petropavlovsk-Kamchatskiy,36,RU,1554064200,79,53.05,158.65,19.4,4.47
46,Akdepe,0,TM,1554064200,74,42.05,59.39,37.4,6.93
47,Sembakung,76,ID,1554065901,99,3.82,117.25,72.65,2.91
48,Cape Town,75,ZA,1554065590,82,-33.93,18.42,64.0,3.36
49,Tabuk,88,PH,1554065904,96,17.41,121.44,65.81,0.89
50,Bluff,0,AU,1554065821,62,-23.58,149.07,53.75,8.5
51,Thompson,90,CA,1554062400,50,55.74,-97.86,28.4,14.99
52,Saint George,0,GR,1554061800,61,39.45,22.34,50.0,8.05
53,Puerto Escondido,40,MX,1554061500,62,15.86,-97.07,84.2,9.17
54,New Norfolk,75,AU,1554065775,66,-42.78,147.06,50.0,9.17
55,Mayna,92,RU,1554065912,85,53.0,91.49,30.35,2.13
56,Okhotsk,0,RU,1554065844,84,59.36,143.24,18.29,7.16
57,Yellowknife,75,CA,1554065850,59,62.45,-114.38,36.0,16.11
58,Kualakapuas,88,ID,1554064200,94,-3.01,114.39,77.0,5.82
59,Hobyo,100,SO,1554065917,79,5.35,48.53,80.93,10.4
60,Somerset East,88,ZA,1554065918,50,-32.72,25.59,72.56,9.95
61,Puerto Ayora,20,EC,1554065121,70,-0.74,-90.35,84.2,13.87
62,Balaipungut,48,ID,1554065921,96,1.11,101.31,74.09,2.35
63,Rio Claro,0,BR,1554062400,42,-22.41,-47.56,82.4,3.36
64,Campbell River,40,CA,1554065146,44,50.02,-125.24,60.8,5.82
65,Tuktoyaktuk,90,CA,1554062400,92,69.44,-133.03,24.8,21.92
66,Sibu,75,MY,1554062400,94,2.29,111.83,75.2,1.12
67,Parambu,80,BR,1554065928,73,-6.21,-40.7,78.86,6.15
68,Rio Grande,20,BR,1554062400,65,-32.03,-52.1,80.6,6.93
69,Canon City,0,US,1554065930,23,39.46,-117.13,50.51,1.9
70,Fortuna,75,ES,1554065796,93,38.18,-1.13,57.2,1.12
71,Haines Junction,0,CA,1554065933,50,60.75,-137.51,38.27,2.68
72,Mackay,75,CA,1554062940,80,53.65,-115.58,39.2,11.41
73,Samarai,92,PG,1554065936,100,-10.62,150.67,77.15,9.17
74,Namibe,0,AO,1554065908,99,-15.19,12.15,78.59,6.93
75,Lebu,24,ET,1554065938,70,8.96,38.73,55.1,4.14
76,Punta Arenas,75,CL,1554065546,66,-53.16,-70.91,55.4,13.87
77,Torbay,40,CA,1554065185,71,47.66,-52.73,50.0,11.41
78,Ixtapa,5,MX,1554065153,61,20.71,-105.21,79.0,10.29
79,Luderitz,0,NA,1554065943,78,-26.65,15.16,62.66,17.78
80,Dossor,0,KZ,1554065945,83,47.52,52.98,32.06,3.02
81,Qasigiannguit,48,GL,1554061800,67,68.82,-51.19,17.6,10.29
82,Salinopolis,88,BR,1554065947,100,-0.61,-47.36,78.41,7.38
83,Beringovskiy,76,RU,1554065949,99,63.05,179.32,31.79,13.53
84,Cherskiy,0,RU,1554065877,59,68.75,161.3,-1.88,2.46
85,Kavieng,68,PG,1554065879,100,-2.57,150.8,82.1,8.95
86,Wanaka,0,NZ,1554065953,54,-44.7,169.14,51.68,8.95
87,Chuy,8,UY,1554065785,85,-33.69,-53.46,72.56,7.83
88,Ust-Tsilma,44,RU,1554065955,77,65.44,52.15,28.55,6.15
89,Ahipara,92,NZ,1554065956,95,-35.17,173.16,69.86,12.19
90,Hasaki,20,JP,1554065677,80,35.73,140.83,35.6,3.36
91,Ponta do Sol,0,BR,1554065959,53,-20.63,-46.0,77.33,2.91
92,Hirara,68,JP,1554065960,100,24.8,125.28,68.51,21.25
93,Bredasdorp,76,ZA,1554065163,82,-34.53,20.04,59.0,11.41
94,Barstow,1,US,1554065580,24,31.46,-103.39,55.4,16.11
95,Alofi,75,NU,1554062400,83,-19.06,-169.92,82.4,10.29
96,Lac du Bonnet,8,CA,1554065736,45,50.25,-96.06,39.0,8.99
97,Sept-Iles,90,CA,1554065604,93,50.2,-66.38,39.0,16.11
98,Llangefni,8,GB,1554065763,57,53.26,-4.31,48.2,11.41
99,Zamosc,0,PL,1554064200,66,50.72,23.25,48.2,8.05
100,Butaritari,68,KI,1554065679,100,3.07,172.79,82.55,15.43
101,Dingle,0,PH,1554065972,74,11.0,122.67,73.19,12.53
102,Port Alfred,88,ZA,1554065973,93,-33.59,26.89,69.5,5.37
103,Wexford,90,US,1554065963,68,40.63,-80.06,35.01,16.11
104,Zonguldak,0,TR,1554065976,92,41.25,31.83,36.74,1.34
105,Lagoa,20,PT,1554065834,82,37.14,-8.45,61.0,3.36
106,Ostersund,0,SE,1554065513,79,63.18,14.64,28.99,11.41
107,Wagga Wagga,0,AU,1554065197,100,-35.12,147.37,48.2,5.82
108,Margate,75,AU,1554065955,66,-43.03,147.26,50.0,9.17
109,Axim,0,GH,1554065982,98,4.87,-2.24,83.27,8.05
110,Qaanaaq,32,GL,1554065816,78,77.48,-69.36,-1.7,4.36
111,Shetpe,12,KZ,1554065985,80,44.14,52.16,36.38,5.7
112,Norman Wells,90,CA,1554062400,95,65.28,-126.83,37.4,14.99
113,Khatanga,80,RU,1554065988,91,71.98,102.47,29.72,12.19
114,Mayumba,32,GA,1554065989,98,-3.44,10.65,80.75,5.93
115,Veraval,0,FR,1554065843,76,49.65,0.71,54.0,14.99
116,Cabo San Lucas,5,MX,1554065758,20,22.89,-109.91,87.01,8.05
117,Victoria,75,BN,1554064200,74,5.28,115.24,80.6,4.7
118,Nishihara,20,JP,1554065917,52,35.74,139.53,48.0,13.87
119,Iqaluit,75,CA,1554065521,61,63.75,-68.52,12.2,4.7
120,Kamenka,0,RU,1554065997,89,53.19,44.05,35.57,13.76
121,Ketchikan,1,US,1554062160,70,55.34,-131.65,53.6,17.22
122,Te Anau,64,NZ,1554065902,78,-45.41,167.72,48.8,14.99
123,Woensdrecht,0,NL,1554065949,65,51.43,4.3,48.99,9.17
124,Yuxia,0,CN,1554062400,55,34.06,108.63,35.6,1.01
125,Portland,1,US,1554065842,42,45.52,-122.67,68.0,4.7
126,Zunyi,92,CN,1554066009,90,27.73,106.92,46.91,3.47
127,Betanzos,0,ES,1554066005,82,43.28,-8.21,59.0,3.36
128,kimparana,64,ML,1554066016,47,12.83,-4.92,88.13,3.24
129,Ibotirama,12,BR,1554065766,66,-12.18,-43.22,81.65,4.92
130,Bayji,68,IQ,1554066019,92,34.93,43.49,52.4,5.03
131,Kerema,24,PG,1554066020,95,-7.96,145.78,72.38,2.01
132,Hofn,92,IS,1554065747,100,64.25,-15.21,40.43,25.17
133,Abha,0,SA,1554062400,39,18.22,42.5,66.2,11.41
134,Bambous Virieux,40,MU,1554065942,83,-20.34,57.76,77.0,3.36
135,Tralee,75,US,1554066013,41,37.56,-81.4,45.0,9.17
136,Santa Rosa,92,AR,1554065911,100,-36.62,-64.29,69.59,7.94
137,Bethel,1,US,1554062160,70,60.79,-161.76,42.8,3.36
138,Provideniya,64,RU,1554066032,100,64.42,-173.23,27.65,8.61
139,Pokrovsk,0,UA,1554066033,82,48.28,37.18,42.59,8.61
140,Chicama,20,PE,1554062400,78,-7.84,-79.15,73.4,11.41
141,Zaraza,20,VE,1554066036,38,9.35,-65.33,95.06,12.64
142,Muros,20,ES,1554066007,66,42.77,-9.06,64.0,6.93
143,Touros,76,BR,1554065834,99,-5.2,-35.46,79.49,3.91
144,Saint Anthony,1,US,1554065739,37,43.97,-111.68,55.0,8.05
145,Port Hedland,0,AU,1554064200,73,-20.31,118.58,75.2,4.7
146,Bull Savanna,64,JM,1554066042,55,17.89,-77.59,83.45,4.7
147,Broome,20,GB,1554065878,75,52.47,1.45,44.01,10.29
148,Iracoubo,88,GF,1554066045,69,5.48,-53.21,81.11,6.15
149,Antalaha,64,MG,1554066046,92,-14.9,50.28,78.86,1.79
150,Yartsevo,92,RU,1554066047,75,55.07,32.69,41.33,16.67
151,Laguna,5,MX,1554061980,21,27.52,-110.01,84.2,6.93
152,Port Elizabeth,90,US,1554065787,53,39.31,-74.98,57.99,12.75
153,Nagapattinam,0,IN,1554066051,83,10.76,79.84,78.14,9.95
154,Dukat,0,RS,1554066046,49,42.44,22.31,46.0,1.68
155,Hovd,40,NO,1554066042,84,63.83,10.7,37.0,19.46
156,Wadsworth,90,US,1554066046,73,41.03,-81.73,30.99,11.41
157,Yaan,36,NG,1554066057,61,7.38,8.57,84.98,9.4
158,Ilulissat,48,GL,1554061800,67,69.22,-51.1,17.6,10.29
159,Narsaq,0,GL,1554061800,44,60.91,-46.05,21.2,13.87
160,Dikson,88,RU,1554066060,93,73.51,80.55,28.28,24.83
161,Waddan,48,LY,1554066062,43,29.16,16.14,49.43,3.36
162,Laukaa,36,FI,1554065671,77,62.42,25.95,33.01,10.29
163,Moose Factory,1,CA,1554062400,35,51.26,-80.61,23.0,12.75
164,Paamiut,68,GL,1554066066,100,61.99,-49.67,26.3,2.35
165,Palu,76,ID,1554066067,91,-0.9,119.87,66.17,1.57
166,Airai,0,TL,1554065828,85,-8.93,125.41,63.2,0.56
167,Yar-Sale,8,RU,1554066070,76,66.83,70.83,20.36,12.64
168,Pellerd,0,HU,1554066071,62,46.03,18.15,46.1,4.7
169,Luga,88,RU,1554066073,97,58.74,29.85,34.49,9.51
170,Lompoc,1,US,1554065839,33,34.64,-120.46,80.6,5.82
171,Severo-Kurilsk,48,RU,1554065833,100,50.68,156.12,27.56,4.03
172,Shingu,0,JP,1554066076,100,33.72,135.99,48.98,15.66
173,Kaseda,24,JP,1554065545,60,31.42,130.32,42.01,8.01
174,East London,76,ZA,1554066023,100,-33.02,27.91,73.73,5.7
175,Casas Grandes,0,MX,1554066080,13,30.15,-110.24,81.65,3.69
176,Mponela,0,MW,1554066081,81,-13.53,33.74,68.15,4.7
177,Vaini,0,IN,1554065820,92,15.34,74.49,68.33,2.57
178,Winnemucca,1,US,1554065156,22,40.97,-117.74,57.2,4.7
179,Isangel,76,VU,1554066085,100,-19.55,169.27,78.59,10.96
180,Key Largo,40,US,1554065944,51,25.09,-80.45,82.4,10.29
181,Kudahuvadhoo,0,MV,1554066088,100,2.67,72.89,83.81,2.91
182,Puerto del Rosario,40,ES,1554064200,77,28.5,-13.86,66.2,9.17
183,Ponta Delgada,40,PT,1554066040,71,37.73,-25.67,57.2,13.87
184,Georgetown,40,GY,1554062400,74,6.8,-58.16,87.8,13.87
185,Ust-Koksa,48,RU,1554066094,84,50.27,85.62,27.47,2.68
186,Sterling,40,US,1554065863,43,39.0,-77.4,54.0,26.4
187,Cockburn Town,0,TC,1554066020,100,21.46,-71.14,78.32,7.61
188,Carlsbad,75,CZ,1554066001,80,50.23,12.87,48.2,6.93
189,Clyde River,90,CA,1554064080,84,70.47,-68.59,3.2,8.05
190,Soyo,24,AO,1554066101,92,-6.13,12.37,80.66,5.14
191,Labuhan,12,ID,1554066102,96,-2.54,115.51,71.66,1.34
192,Tiksi,8,RU,1554065906,79,71.64,128.87,16.76,5.82
193,Varnamo,0,SE,1554066096,50,57.19,14.04,35.01,6.93
194,Taoudenni,0,ML,1554065998,55,22.68,-3.98,64.28,6.71
195,Sao Joao da Barra,40,BR,1554062400,61,-21.64,-41.05,80.6,13.87
196,Wuchang,24,CN,1554066109,66,44.93,127.16,19.28,6.82
197,Nalut,92,LY,1554066110,56,31.86,10.98,58.97,12.64
198,Tual,68,ID,1554066111,100,-5.67,132.75,82.55,14.65
199,Arraial do Cabo,0,BR,1554062400,57,-22.97,-42.02,80.6,8.05
200,Abu Samrah,88,SY,1554066114,96,35.3,37.18,50.33,9.62
201,Shahrud,64,IR,1554066116,88,36.42,54.97,35.39,2.13
202,Nuuk,76,GL,1554065521,79,64.17,-51.74,19.0,20.0
203,Srednekolymsk,0,RU,1554066118,71,67.46,153.71,1.19,3.02
204,Tubuala,40,PA,1554066081,52,9.52,-79.03,93.0,9.17
205,Ufa,90,RU,1554064200,93,54.73,55.95,35.6,22.37
206,Cayenne,76,GF,1554064200,66,4.94,-52.33,84.2,10.29
207,Kahului,20,US,1554065683,69,20.89,-156.47,78.01,5.82
208,Shakawe,0,BW,1554066125,39,-18.36,21.84,75.08,6.71
209,Hilo,75,US,1554066015,65,19.71,-155.08,78.8,10.29
210,Longyearbyen,40,NO,1554063600,77,78.22,15.63,5.0,3.36
211,Chokurdakh,36,RU,1554066129,70,70.62,147.9,9.65,2.91
212,Mnogovershinnyy,56,RU,1554065933,77,53.94,139.92,10.55,2.46
213,Khuzhir,0,RU,1554066131,78,53.19,107.35,15.59,3.02
214,Talnakh,88,RU,1554066097,92,69.49,88.39,28.37,16.11
215,Manicore,32,BR,1554066134,74,-5.81,-61.3,86.06,2.13
216,Lethem,24,GY,1554066043,34,3.38,-59.8,97.49,14.76
217,Salalah,40,OM,1554061800,74,17.01,54.1,78.8,4.7
218,Ulladulla,75,AU,1554065136,82,-35.36,150.48,55.99,5.82
219,Astoria,1,US,1554065906,71,46.19,-123.83,69.01,9.17
220,Darnah,0,LY,1554066140,99,32.77,22.64,59.87,18.12
221,Sobolevo,80,RU,1554066141,69,54.43,31.9,43.31,16.67
222,Faya,0,SA,1554062400,39,18.39,42.45,66.2,11.41
223,Fukuma,90,JP,1554066004,49,33.77,130.47,46.99,17.22
224,Barra do Garcas,0,BR,1554066145,42,-15.89,-52.26,90.11,4.36
225,Tura,56,IN,1554066147,95,25.52,90.21,63.65,3.69
226,Traverse City,75,US,1554066030,89,44.76,-85.62,35.6,14.99
227,Whitley Bay,20,GB,1554066132,100,55.04,-1.44,41.0,4.7
228,Kryvyy Rih,0,UA,1554064200,79,47.92,33.35,50.0,2.24
229,Jiuquan,0,CN,1554066152,71,39.73,98.49,25.04,5.37
230,Mineros,40,BO,1554062400,55,-17.12,-63.23,91.4,13.87
231,Katsuura,20,JP,1554064460,88,33.93,134.5,46.0,18.34
232,La Paz,5,MX,1554065157,13,24.15,-110.32,87.01,12.75
233,Road Town,40,VG,1554065832,65,18.42,-64.62,82.4,4.7
234,Grindavik,75,IS,1554065515,100,63.84,-22.43,34.0,5.82
235,Pacific Grove,1,US,1554066036,46,36.62,-121.92,77.0,5.82
236,Biltine,0,TD,1554066110,21,14.53,20.93,77.42,9.73
237,Beloha,0,MG,1554066163,86,-25.17,45.06,65.0,4.36
238,Anse-Bertrand,40,GP,1554064200,61,16.47,-61.51,82.4,12.75
239,Nemuro,12,JP,1554066165,100,43.32,145.57,29.09,8.16
240,Kodiak,1,US,1554066090,14,39.95,-94.76,45.0,8.05
241,Ust-Ordynskiy,40,RU,1554064200,67,52.8,104.75,32.0,6.71
242,Sao Filipe,0,CV,1554065879,95,14.9,-24.5,71.3,15.99
243,Laramie,1,US,1554065923,41,41.31,-105.59,45.0,6.93
244,Vila Franca do Campo,40,PT,1554066160,71,37.72,-25.43,57.2,13.87
245,Yeppoon,0,AU,1554064200,67,-23.13,150.74,62.6,3.36
246,Varzea da Palma,64,BR,1554066059,47,-17.6,-44.73,82.91,4.36
247,Usinsk,80,RU,1554066175,88,66.0,57.56,28.64,10.96
248,Lithakia,0,GR,1554066024,81,37.72,20.83,55.0,11.74
249,Ust-Barguzin,0,RU,1554066178,55,53.41,109.03,4.79,3.58
250,Diamantino,8,BR,1554066179,76,-14.4,-56.44,85.7,2.13
251,Napier,12,NZ,1554066005,69,-39.49,176.92,72.0,11.01
252,Cidreira,48,BR,1554066182,80,-30.17,-50.22,74.81,2.13
253,Westport,92,IE,1554066125,78,53.8,-9.52,46.0,14.0
254,Manta,0,RO,1554066185,82,45.1,24.1,38.54,2.35
255,Burnie,0,AU,1554066184,89,-41.05,145.91,42.01,11.97
256,Lere,0,TD,1554066188,27,9.66,14.23,81.2,7.61
257,Mont-Dore,0,NC,1554064200,78,-22.23,166.53,75.2,4.59
258,Birao,0,CF,1554066116,21,10.3,22.78,76.79,9.28
259,Lao Cai,64,VN,1554066192,96,22.48,103.95,60.59,1.79
260,Pasighat,92,IN,1554066193,98,28.06,95.33,57.35,1.68
261,Viransehir,92,TR,1554066194,96,37.24,39.76,49.52,5.37
262,Saint-Georges,92,CA,1554065209,94,46.12,-70.67,36.0,4.0
263,Cherepovets,90,RU,1554062400,94,59.13,37.92,33.8,6.71
264,Gerede,0,TR,1554066198,72,40.8,32.2,18.38,2.35
265,Nantucket,90,US,1554065919,87,41.28,-70.1,55.0,19.46
266,Waipawa,48,NZ,1554065537,80,-39.94,176.59,64.99,5.01
267,Lerwick,56,GB,1554063600,70,60.15,-1.15,42.8,19.46
268,Hit,24,IQ,1554066203,85,33.64,42.83,53.66,5.93
269,Bandundu,0,CD,1554066205,92,-3.32,17.38,76.97,2.57
270,Ribeira Grande,75,PT,1554062400,62,38.52,-28.7,57.2,9.17
271,Mantua,0,IT,1554066144,65,45.16,10.79,59.0,5.82
272,Phalaborwa,0,ZA,1554062400,60,-23.95,31.14,75.2,2.24
273,Liverpool,0,GB,1554066186,57,53.41,-2.98,48.2,11.41
274,Dutlwe,92,BW,1554066211,59,-23.98,23.93,76.61,2.57
275,Pauini,8,BR,1554066213,68,-7.71,-67.0,88.31,2.68
276,Tuatapere,24,NZ,1554066009,74,-46.13,167.69,55.0,5.01
277,Mollendo,8,PE,1554066056,51,-17.03,-72.02,74.09,3.69
278,Alta Floresta,40,BR,1554062400,52,-9.87,-56.08,93.2,2.24
279,Bagdarin,0,RU,1554066218,54,54.44,113.59,0.47,2.46
280,Chunoyar,32,RU,1554066219,94,57.45,97.32,32.69,5.14
281,Kysyl-Syr,20,RU,1554066221,67,63.9,122.77,7.76,2.57
282,Inuvik,90,CA,1554065280,80,68.36,-133.71,35.6,17.22
283,Boissevain,90,CA,1554064500,69,49.23,-100.06,35.6,16.11
284,Banikoara,20,BJ,1554066225,62,11.3,2.44,86.15,3.24
285,Kaitangata,0,NZ,1554066133,47,-46.28,169.85,64.0,18.99
286,Sal Rei,40,CV,1554062400,64,16.18,-22.92,69.8,12.75
287,Son La,20,VN,1554066229,95,21.32,103.9,63.56,1.9
288,Beisfjord,20,NO,1554066132,79,68.38,17.6,28.0,19.46
289,Mahebourg,40,MU,1554065942,83,-20.41,57.7,77.0,3.36
290,Havre-Saint-Pierre,90,CA,1554064440,86,50.23,-63.6,41.0,19.46
291,Yanam,32,IN,1554066234,87,16.73,82.22,77.78,3.47
292,Dhidhdhoo,0,MV,1554066235,100,6.88,73.1,84.44,0.78
293,Umm Lajj,64,SA,1554066108,95,25.02,37.27,64.46,11.97
294,San Policarpo,0,PH,1554066238,100,12.18,125.51,71.66,8.39
295,Tam Ky,75,VN,1554064200,94,15.57,108.48,73.4,1.12
296,Sitka,8,US,1554066082,29,37.17,-99.65,50.0,1.99
297,Komsomolskiy,64,RU,1554066241,90,67.55,63.78,26.93,16.67
298,Eydhafushi,0,MV,1554066243,100,5.1,73.07,84.26,1.12
299,Kokoda,48,PG,1554066244,95,-8.88,147.74,63.92,0.45
300,Sherbakul,40,RU,1554064200,92,54.63,72.39,28.4,8.95
301,Hervey Bay,0,AU,1554066035,82,-25.3,152.85,69.01,5.82
302,Lasa,20,CY,1554066039,87,34.92,32.53,51.8,4.7
303,Sawakin,0,SD,1554062400,69,19.1,37.33,75.2,6.93
304,Bartica,40,GY,1554062400,58,6.41,-58.62,87.8,13.87
305,Karasburg,0,NA,1554066252,33,-28.01,18.75,67.25,7.94
306,Ekhabi,68,RU,1554066254,86,53.51,142.97,13.61,11.86
307,Grimstad,40,NO,1554066102,59,66.94,13.72,33.8,17.22
308,Anadyr,90,RU,1554066147,95,64.73,177.51,33.8,20.13
309,Aluksne,0,LV,1554066258,68,57.42,27.05,31.97,17.22
310,Whittlesea,75,AU,1554066244,76,-37.51,145.12,57.0,2.24
311,San Patricio,88,PY,1554066261,67,-26.98,-56.83,85.97,3.47
312,Fairbanks,1,US,1554066132,64,64.84,-147.72,48.99,4.81
313,Hwange,0,ZW,1554066263,41,-18.35,26.5,68.33,4.25
314,Burgeo,88,CA,1554066264,94,47.61,-57.61,33.23,15.43
315,Bukachacha,0,RU,1554066266,64,52.99,116.91,6.86,2.57
316,Ovalle,20,CL,1554066037,84,-30.6,-71.2,65.63,3.91
317,Paracuru,75,BR,1554065887,78,-3.41,-39.03,82.4,6.93
318,Grandview,1,US,1554066900,36,38.89,-94.53,48.0,4.7
319,Aklavik,90,CA,1554065280,80,68.22,-135.01,35.6,17.22
320,Bella Union,36,CO,1554066272,60,8.5,-73.35,82.82,2.35
321,Marsh Harbour,20,BS,1554066274,100,26.54,-77.06,74.81,1.9
322,Zionsville,75,US,1554066098,55,39.95,-86.26,36.0,13.87
323,Vestmannaeyjar,88,IS,1554066149,100,63.44,-20.27,36.65,7.16
324,Dunedin,0,NZ,1554066278,53,-45.87,170.5,61.13,17.0
325,Ojinaga,40,US,1554066073,25,29.56,-104.41,60.8,14.99
326,Tabas,12,IR,1554062400,24,33.6,56.92,71.6,4.7
327,Obidos,0,PT,1554066262,77,39.36,-9.16,60.01,3.36
328,Beyneu,0,KZ,1554066283,80,45.32,55.19,32.15,2.91
329,Sabang,8,PH,1554066019,98,13.72,123.58,73.19,6.93
330,Miandoab,92,IR,1554066286,97,36.97,46.1,37.55,9.51
331,Starozhilovo,12,RU,1554066142,70,54.23,39.91,43.0,5.01
332,Grand Gaube,40,MU,1554065942,83,-20.01,57.66,77.0,3.36
333,Mount Isa,0,AU,1554064200,54,-20.73,139.49,59.0,5.82
334,Huambo,44,AO,1554066253,75,-12.78,15.73,61.67,1.45
335,Baykit,92,RU,1554066292,94,61.68,96.39,32.15,7.72
336,Yining,8,CN,1554066293,87,29.04,114.56,35.84,2.13
337,Roebourne,32,AU,1554066295,68,-20.77,117.15,71.66,2.91
338,Kamina,12,CD,1554066296,80,-8.74,25.0,71.93,2.91
339,Fukue,20,JP,1554066246,75,35.03,136.69,44.6,18.34
340,San Luis,24,AR,1554066238,55,-33.3,-66.34,81.11,4.25
341,Gat,0,SN,1554064200,60,14.69,-16.54,69.8,20.8
342,Soc Trang,40,VN,1554064200,94,9.6,105.98,75.2,2.24
343,Kazerun,92,IR,1554066303,83,29.62,51.65,60.41,2.13
344,Song Phi Nong,20,TH,1554066099,72,14.23,100.04,88.0,6.15
345,Caravelas,0,BR,1554066058,100,-17.73,-39.27,81.11,16.33
346,Houma,0,CN,1554066307,57,35.63,111.36,28.01,1.9
347,Riyadh,40,SA,1554062400,78,24.63,46.72,71.6,8.05
348,Micomeseng,12,GQ,1554066310,87,2.15,10.62,77.6,3.91
349,Kungurtug,36,RU,1554066311,68,50.6,97.53,6.95,2.24
350,Los Llanos de Aridane,20,ES,1554066013,68,28.66,-17.92,64.4,8.05
351,Richards Bay,20,ZA,1554066095,78,-28.77,32.06,75.08,10.63
352,Sorong,20,ID,1554066315,100,-0.86,131.25,81.56,7.94
353,Martinsville,1,US,1554066204,28,36.69,-79.87,63.0,16.11
354,Alvorada,40,BR,1554066205,54,-30.0,-51.08,84.2,8.05
355,Ostrovskoye,24,RU,1554066319,92,57.81,42.24,35.93,13.98
356,San Lorenzo,0,PY,1554062400,78,-25.34,-57.51,80.6,2.24
357,Codrington,0,AU,1554066048,87,-28.95,153.24,57.99,6.93
358,Montpelier,90,US,1554066217,80,44.26,-72.58,42.8,3.36
359,Mizan Teferi,20,ET,1554066326,86,6.99,35.58,58.61,2.13
360,Quatre Cocos,40,MU,1554066242,83,-20.21,57.76,77.0,3.36
361,Kota Kinabalu,75,MY,1554066016,88,5.98,116.07,75.2,4.7
362,Moldovita,0,RO,1554066295,46,47.68,25.53,54.0,2.24
363,Kundiawa,44,PG,1554066331,95,-6.02,144.97,56.54,2.01
364,Hamilton,90,CA,1554066095,88,43.26,-79.87,33.01,14.99
365,Celakovice,75,CZ,1554066310,70,50.16,14.75,48.99,11.41
366,Manado,40,ID,1554064200,100,1.49,124.85,75.2,2.24
367,Tautira,20,PF,1554066142,70,-17.73,-149.15,87.8,5.82
368,Huron,90,US,1554062100,35,44.36,-98.21,55.4,16.11
369,Virginia Beach,90,US,1554066215,81,36.85,-75.98,54.0,6.93
370,Muli,0,IN,1554066194,49,22.62,71.45,75.71,10.4
371,Sisimiut,68,GL,1554066123,97,66.94,-53.67,16.58,2.01
372,Rupert,40,US,1554065580,34,42.62,-113.68,53.6,4.7
373,Musiri,0,IN,1554064200,57,10.95,78.44,80.6,5.14
