,Age,Gender,Race,Offenses Severity,Arrest Day of Week,Arrest Date,Arrest Month,Arrest Year,Temperature,Weather Condition,Incident Location,Incident Latitude,Incident Longitude,Incident Neighborhood,Incident Zone
17,53.0,M,W,M,Monday,18,July,2016,78.84,Mostly Cloudy,"E Carson ST & S 13th ST Pittsburgh, PA 15203",40.42877496,-79.98532709999999,South Side Flats,3
18,57.0,M,B,F,Wednesday,20,July,2016,78.56,Clear,"2300 Block Park Hill DR Pittsburgh, PA 15221",40.45475038,-79.87407838,East Hills,5
19,20.0,M,B,F,Friday,22,July,2016,76.98,Overcast,"5th AV & Robinson ST Pittsburgh, PA 15213",40.43774389,-79.96535778,West Oakland,4
20,35.0,M,W,M,Monday,25,July,2016,89.61,Humid and Mostly Cloudy,"Washington PL & 5th AV Pittsburgh, PA 15219",40.43880171,-79.99084692,Golden Triangle/Civic Arena,2
21,29.0,F,W,M,Friday,29,July,2016,77.43,Overcast,"Cedar AV & Foreland ST Pittsburgh, PA 15212",40.45408043,-80.00193876,Allegheny Center,1
22,52.0,F,B,M,Monday,01,August,2016,82.15,Mostly Cloudy,"Baum BL & Woodworth ST Pittsburgh, PA 15224",40.45567192,-79.94287456,Bloomfield,5
23,24.0,M,B,M,Monday,01,August,2016,82.15,Mostly Cloudy,"Superior AV & Shadeland AV Pittsburgh, PA 15212",40.46805229,-80.02970655,Marshall-Shadeland,1
24,47.0,M,B,M,Monday,01,August,2016,82.15,Mostly Cloudy,"1500 Block Westmoreland ST Pittsburgh, PA 15206",40.46824722,-79.89459035,Lincoln-Lemington-Belmar,5
25,37.0,M,W,M,Monday,01,August,2016,82.15,Mostly Cloudy,"3400 Block Fleming AV Pittsburgh, PA 15212",40.47698002,-80.03815717,Brighton Heights,1
26,50.0,M,B,M,Monday,01,August,2016,82.15,Mostly Cloudy,"1600 Block Sandusky CT Pittsburgh, PA 15212",40.45893258,-80.00544754,Fineview,1
27,35.0,M,W,M,Monday,01,August,2016,82.15,Mostly Cloudy,"Smithfield ST & 4th AV Pittsburgh, PA 15222",40.43872472,-79.99954394,Golden Triangle/Civic Arena,2
28,36.0,M,W,M,Monday,01,August,2016,82.15,Mostly Cloudy,"3400 Block Fleming AV Pittsburgh, PA 15212",40.47698002,-80.03815717,Brighton Heights,1
29,26.0,M,B,M,Monday,01,August,2016,82.15,Mostly Cloudy,"Fireman WY & Leduc WY Pittsburgh, PA 15212",40.45769415,-80.00896768,Central Northside,1
30,26.0,M,W,M,Monday,01,August,2016,82.15,Mostly Cloudy,"Wyoming ST & E Sycamore ST Pittsburgh, PA 15211",40.43027051,-80.00645947,Mount Washington,3
31,33.0,M,W,F,Tuesday,02,August,2016,82.64,Partly Cloudy,"6800 Block Frankstown AV Pittsburgh, PA 15208",40.45810133,-79.90598029,Homewood West,5
32,23.0,F,W,F,Tuesday,02,August,2016,82.64,Partly Cloudy,"6800 Block Frankstown AV Pittsburgh, PA 15208",40.45810133,-79.90598029,Homewood West,5
33,27.0,M,B,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"2000 Block Arlington AV Pittsburgh, PA 15210",40.41778816,-79.97826885,South Side Slopes,3
34,47.0,F,B,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"7100 Block Frankstown AV Pittsburgh, PA 15208",40.45783765,-79.89848267,Homewood South,5
35,45.0,F,B,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"1000 Block N Negley AV Pittsburgh, PA 15206",40.47427554,-79.92472807,Highland Park,5
36,24.0,M,B,F,Tuesday,02,August,2016,82.64,Partly Cloudy,"2100 Block Park Hill DR Pittsburgh, PA 15221",40.45295266,-79.8740214,East Hills,5
37,33.0,M,B,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"Bausman ST & E Amanda AV Pittsburgh, PA 15210",40.41443424,-79.9880386,Knoxville,3
38,32.0,F,W,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"Bausman ST & E Amanda AV Pittsburgh, PA 15210",40.41443424,-79.9880386,Knoxville,3
39,59.0,M,B,F,Tuesday,02,August,2016,82.64,Partly Cloudy,"6800 Block Frankstown AV Pittsburgh, PA 15208",40.45810133,-79.90598029,Homewood West,5
40,33.0,F,W,F,Tuesday,02,August,2016,82.64,Partly Cloudy,"6800 Block Frankstown AV Pittsburgh, PA 15208",40.45810133,-79.90598029,Homewood West,5
41,48.0,M,B,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"2000 Block De Ruad ST Pittsburgh, PA 15219",40.45167392,-80.04190688,West Oakland,4
42,18.0,F,B,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"2600 Block Mackinaw AV Pittsburgh, PA 15216",40.40034737,-80.02702089,Beechview,6
43,67.0,M,B,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"2600 Block Centre AV Pittsburgh, PA 15219",40.446533,-79.96841687,Terrace Village,2
44,18.0,M,B,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"300 Block Moore AV Pittsburgh, PA 15210",40.41135213,-79.99300674,Knoxville,3
45,47.0,M,B,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"600 Block Singer PL Pittsburgh, PA 15221",40.44724482,-79.88257068,East Hills,5
46,22.0,F,B,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"2600 Block Mackinaw AV Pittsburgh, PA 15216",40.40034737,-80.02702089,Beechview,6
47,43.0,M,B,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"100 Block Rhine PL Pittsburgh, PA 15212",40.4667862,-79.99409859,Spring Hill-City View,1
48,37.0,F,W,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"Cedar AV & Foreland ST Pittsburgh, PA 15212",40.45408043,-80.00193876,Allegheny Center,1
49,52.0,F,B,F,Tuesday,02,August,2016,82.64,Partly Cloudy,"1100 Block 2nd AV Pittsburgh, PA 15282",40.43498814,-79.99278589,Golden Triangle/Civic Arena,2
50,50.0,F,B,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"600 Block Singer PL Pittsburgh, PA 15221",40.44724482,-79.88257068,East Hills,5
51,56.0,F,B,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"2600 Block Centre AV Pittsburgh, PA 15219",40.446533,-79.96841687,Terrace Village,2
52,34.0,M,W,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"Cedar AV & Foreland ST Pittsburgh, PA 15212",40.45408043,-80.00193876,Allegheny Center,1
53,53.0,M,W,M,Tuesday,02,August,2016,82.64,Partly Cloudy,"600 Block Sedan WY Pittsburgh, PA 15220",40.43811934,-80.04009604,Elliott,6
54,31.0,M,W,F,Tuesday,02,August,2016,82.64,Partly Cloudy,"100 Block Southern AV Pittsburgh, PA 15211",40.42704095,-80.0091631,Mount Washington,3
55,31.0,M,W,M,Wednesday,03,August,2016,82.5,Partly Cloudy,"4200 Block Steubenville PKE Pittsburgh, PA 15205",40.44013633,-80.08801806,Outside City,OSC
56,63.0,F,B,F,Wednesday,03,August,2016,82.5,Partly Cloudy,"900 Block Freeport RD Fox Chapel, PA 15238",40.48662475,-79.89180294,Westwood,5
57,36.0,M,B,M,Wednesday,03,August,2016,82.5,Partly Cloudy,"1400 Block Crucible ST Pittsburgh, PA 15220",40.44859775,-80.04968352,Crafton Heights,6
58,29.0,M,B,M,Wednesday,03,August,2016,82.5,Partly Cloudy,"5200 Block Interboro AV Pittsburgh, PA 15207",40.37023724,-79.91291244,Lincoln Place,4
59,23.0,F,H,M,Wednesday,03,August,2016,82.5,Partly Cloudy,"S 20th ST & E Carson ST Pittsburgh, PA 15203",40.42858782,-79.97763595,South Side Flats,3
60,25.0,M,B,M,Wednesday,03,August,2016,82.5,Partly Cloudy,"1200 Block W North AV Pittsburgh, PA 15233",40.45288835,-80.0223566,Manchester,1
61,36.0,M,W,F,Wednesday,03,August,2016,82.5,Partly Cloudy,"S 27th ST & Edwards WY Pittsburgh, PA 15203",40.42412118,-79.9684558,South Side Slopes,3
62,34.0,M,B,M,Wednesday,03,August,2016,82.5,Partly Cloudy,"N Murtland ST & Upland ST Pittsburgh, PA 15208",40.46315435,-79.89930494,Homewood West,5
63,57.0,M,B,M,Wednesday,03,August,2016,82.5,Partly Cloudy,"W Warrington AV & Boggs AV Pittsburgh, PA 15226",40.41560949,-80.01109220000001,Mount Washington,3
64,32.0,M,B,M,Wednesday,03,August,2016,82.5,Partly Cloudy,"Tony Dorsett DR & North Shore DR Pittsburgh, PA 15212",40.44616606,-80.00988899,North Shore,1
65,19.0,F,B,F,Thursday,04,August,2016,80.46,Mostly Cloudy,"1300 Block Chartiers AV Pittsburgh, PA 15220",40.44758823,-80.04376167,Elliott,6
66,26.0,F,W,M,Thursday,04,August,2016,80.46,Mostly Cloudy,"300 Block Cedar AV Pittsburgh, PA 15212",40.45089272,-80.00084389,East Allegheny,1
67,51.0,M,W,F,Thursday,04,August,2016,80.46,Mostly Cloudy,"50 Block 11th ST Pittsburgh, PA 15222",40.42895953,-79.98767223,Golden Triangle/Civic Arena,2
68,20.0,F,B,M,Thursday,04,August,2016,80.46,Mostly Cloudy,"1300 Block Chartiers AV Pittsburgh, PA 15220",40.44758823,-80.04376167,Elliott,6
69,18.0,M,B,F,Thursday,04,August,2016,80.46,Mostly Cloudy,"Woodland AV & Stayton ST Pittsburgh, PA 15212",40.46959761,-80.02733457,Marshall-Shadeland,1
70,29.0,F,W,M,Thursday,04,August,2016,80.46,Mostly Cloudy,"200 Block Federal ST Pittsburgh, PA 15212",40.44841334,-80.00396022,North Shore,1
71,28.0,M,B,M,Thursday,04,August,2016,80.46,Mostly Cloudy,"300 Block Cedar AV Pittsburgh, PA 15212",40.45089272,-80.00084389,East Allegheny,1
72,71.0,F,B,M,Thursday,04,August,2016,80.46,Mostly Cloudy,"400 Block Grant ST Pittsburgh, PA 15219",40.43839262,-79.99754951,Golden Triangle/Civic Arena,2
73,20.0,F,B,M,Thursday,04,August,2016,80.46,Mostly Cloudy,"1800 Block Bedford AV Pittsburgh, PA 15219",40.44517821,-79.98540111,Crawford-Roberts,2
74,20.0,M,B,M,Thursday,04,August,2016,80.46,Mostly Cloudy,"Frankstown AV & East Hills DR Pittsburgh, PA 15221",40.46117979,-79.87041082,East Hills,5
75,25.0,F,W,M,Friday,05,August,2016,82.72,Mostly Cloudy,"Foreland ST & Cedar AV Pittsburgh, PA 15212",40.45408043,-80.00193876,East Allegheny,1
76,25.0,F,B,M,Friday,05,August,2016,82.72,Mostly Cloudy,"3200 Block Faronia ST Pittsburgh, PA 15204",40.45160189,-80.06635734,Sheraden,6
77,25.0,F,B,M,Friday,05,August,2016,82.72,Mostly Cloudy,"5800 Block Forward AV Pittsburgh, PA 15217",40.429595500000005,-79.92335695,Squirrel Hill South,4
78,21.0,M,W,F,Friday,05,August,2016,82.72,Mostly Cloudy,"1400 Block E Carson ST Pittsburgh, PA 15203",40.42864859,-79.98403098,South Side Flats,3
79,49.0,M,W,M,Friday,05,August,2016,82.72,Mostly Cloudy,"200 Block Suncrest ST Pittsburgh, PA 15210",40.41035674,-79.99037609,Knoxville,3
80,32.0,M,B,M,Friday,05,August,2016,82.72,Mostly Cloudy,"500 Block East Ohio ST Pittsburgh, PA 15212",40.45353917,-80.00057528,East Allegheny,1
81,30.0,M,W,M,Friday,05,August,2016,82.72,Mostly Cloudy,"100 Block 7th ST Pittsburgh, PA 15222",40.44413678,-80.00099348,Golden Triangle/Civic Arena,2
82,31.0,M,B,M,Friday,05,August,2016,82.72,Mostly Cloudy,"600 Block Wood ST Pittsburgh, PA 15222",40.44209205,-79.99942351,Golden Triangle/Civic Arena,2
83,50.0,M,B,M,Friday,05,August,2016,82.72,Mostly Cloudy,"5900 Block Penn CIR Pittsburgh, PA 15206",40.46163081,-79.92678426,Shadyside,4
84,21.0,M,W,M,Friday,05,August,2016,82.72,Mostly Cloudy,"300 Block Cedar AV Pittsburgh, PA 15212",40.45089272,-80.00084389,East Allegheny,1
85,42.0,F,W,M,Friday,05,August,2016,82.72,Mostly Cloudy,"2700 Block West Liberty AV Pittsburgh, PA 15226",40.45484762,-79.97561429999999,Brookline,6
86,42.0,M,W,M,Friday,05,August,2016,82.72,Mostly Cloudy,"5800 Block Forward AV Pittsburgh, PA 15217",40.429595500000005,-79.92335695,Squirrel Hill South,4
87,29.0,F,B,F,Friday,05,August,2016,82.72,Mostly Cloudy,"300 Block Cedar AV Pittsburgh, PA 15212",40.45089272,-80.00084389,East Allegheny,1
88,29.0,M,W,M,Friday,05,August,2016,82.72,Mostly Cloudy,"6400 Block Frankstown AV Pittsburgh, PA 15206",40.46077054,-79.915653,Larimer,5
89,22.0,M,B,M,Friday,05,August,2016,82.72,Mostly Cloudy,"3300 Block Delaware ST Pittsburgh, PA 15214",40.48030923,-80.01137243,Perry North,1
90,25.0,M,B,F,Saturday,06,August,2016,80.12,Overcast,"900 Block Woodlow ST Pittsburgh, PA 15205",40.44589982,-80.05220414,Crafton Heights,5
91,31.0,M,B,F,Saturday,06,August,2016,80.12,Overcast,"700 Block Proctor WY Pittsburgh, PA 15210",40.42030248,-79.99576971,Allentown,3
92,49.0,M,B,M,Saturday,06,August,2016,80.12,Overcast,"4900 Block Dearborn ST Pittsburgh, PA 15224",40.46599243,-79.94500921,Garfield,5
93,27.0,F,B,M,Saturday,06,August,2016,80.12,Overcast,"Bedford AV & Chauncey DR Pittsburgh, PA 15219",40.45081373,-79.97224337,Bedford Dwellings,2
94,32.0,M,W,M,Saturday,06,August,2016,80.12,Overcast,"200 Block Bon Air AV Pittsburgh, PA 15210",40.41076029999999,-80.00230997,Bon Air,3
95,37.0,M,W,M,Saturday,06,August,2016,80.12,Overcast,"1700 Block E Carson ST Pittsburgh, PA 15203",40.4285852,-79.98186901,South Side Flats,3
96,23.0,M,W,M,Saturday,06,August,2016,80.12,Overcast,"S 15th ST & E Carson ST Pittsburgh, PA 15203",40.42881518,-79.98342493,South Side Flats,3
97,24.0,M,W,M,Saturday,06,August,2016,80.12,Overcast,"1000 Block E Carson ST Pittsburgh, PA 15203",40.44091666,-80.02039221,South Side Flats,3
98,40.0,M,W,M,Saturday,06,August,2016,80.12,Overcast,"700 Block Rossmore AV Pittsburgh, PA 15226",40.39588945,-80.02012655,Brookline,6
99,35.0,M,W,M,Saturday,06,August,2016,80.12,Overcast,"Hazlip WY & Mace WY Pittsburgh, PA 15212",40.45834465,-80.00704917,Central Northside,1
100,32.0,M,B,M,Saturday,06,August,2016,80.12,Overcast,"2200 Block East Hills DR Pittsburgh, PA 15221",40.45388109,-79.87302988,East Hills,5
101,31.0,M,W,F,Saturday,06,August,2016,80.12,Overcast,"500 Block Norton ST Pittsburgh, PA 15211",40.42482426,-80.01267544,Mount Washington,3
102,26.0,M,B,F,Saturday,06,August,2016,80.12,Overcast,"Beltzhoover AV & Freeland ST Pittsburgh, PA 15210",40.41910754,-79.99731368,Allentown,3
103,35.0,M,B,M,Saturday,06,August,2016,80.12,Overcast,"300 Block Suncrest ST Pittsburgh, PA 15210",40.41055218,-79.99322262,Knoxville,3
104,40.0,M,B,F,Saturday,06,August,2016,80.12,Overcast,"700 Block Proctor WY Pittsburgh, PA 15210",40.42030248,-79.99576971,Allentown,3
105,30.0,M,W,M,Saturday,06,August,2016,80.12,Overcast,"200 Block Station Square DR Pittsburgh, PA 15219",40.43420932,-80.00574336,South Shore,3
106,25.0,M,B,M,Saturday,06,August,2016,80.12,Overcast,"1800 Block Bedford AV Pittsburgh, PA 15219",40.44517821,-79.98540111,Crawford-Roberts,2
107,28.0,F,B,M,Saturday,06,August,2016,80.12,Overcast,"Dudley CT Pittsburgh, PA 15206",40.4608466,-79.91944079,East Liberty,5
108,45.0,M,W,M,Sunday,07,August,2016,80.16,Clear,"300 Block Newett ST Pittsburgh, PA 15210",40.39655765,-79.99171209,Carrick,3
109,48.0,F,B,M,Sunday,07,August,2016,80.16,Clear,"1000 Block Sheffield ST Pittsburgh, PA 15233",40.45410332,-80.01979575,Manchester,1
110,49.0,M,W,F,Sunday,07,August,2016,80.16,Clear,"S 25th ST & Jane ST Pittsburgh, PA 15203",40.42613511,-79.97060868,South Side Flats,3
111,16.0,M,B,M,Sunday,07,August,2016,80.16,Clear,"6th ST & Penn AV Pittsburgh, PA 15222",40.442741999999996,-80.00214966,Golden Triangle/Civic Arena,2
112,18.0,M,B,M,Sunday,07,August,2016,80.16,Clear,"Liberty AV & Market ST Pittsburgh, PA 15222",40.44192378,-80.00179440000001,Golden Triangle/Civic Arena,2
113,38.0,M,W,M,Sunday,07,August,2016,80.16,Clear,"East Liberty BL & Larimer AV Pittsburgh, PA 15206",40.4634911,-79.91733643,East Liberty,5
114,21.0,M,B,F,Sunday,07,August,2016,80.16,Clear,"E Carson ST & S 17th ST Pittsburgh, PA 15203",40.42883493,-79.98204758,South Side Flats,3
115,16.0,M,B,F,Sunday,07,August,2016,80.16,Clear,"Market ST & Liberty AV Pittsburgh, PA 15222",40.44192378,-80.00179440000001,Golden Triangle/Civic Arena,2
116,23.0,M,W,F,Sunday,07,August,2016,80.16,Clear,"2000 Block S 18th ST Pittsburgh, PA 15203",40.42339236,-79.97763695,South Side Slopes,3
117,41.0,M,B,M,Sunday,07,August,2016,80.16,Clear,"Silver Lake DR & Washington BL Pittsburgh, PA 15206",40.46225948,-79.90559538,Homewood West,5
118,32.0,F,W,M,Sunday,07,August,2016,80.16,Clear,"1800 Block Banksville RD Pittsburgh, PA 15216",40.40892293,-80.03227740000001,Beechview,6
119,13.0,F,B,F,Sunday,07,August,2016,80.16,Clear,"Nolan CT & Mohler ST Pittsburgh, PA 15221",40.45941134,-79.88696529,Homewood North,5
120,26.0,M,B,M,Sunday,07,August,2016,80.16,Clear,"2300 Block East Hills DR Pittsburgh, PA 15221",40.45656464,-79.87136146,East Hills,5
121,48.0,M,B,M,Sunday,07,August,2016,80.16,Clear,"Jacksonia ST & Monterey ST Pittsburgh, PA 15212",40.45716751,-80.01353515,Central Northside,1
122,26.0,F,O,M,Sunday,07,August,2016,80.16,Clear,"1100 Block Roundtop ST Pittsburgh, PA 15205",40.441810499999995,-80.05438395,Crafton Heights,6
123,28.0,M,W,M,Monday,08,August,2016,76.72,Clear,"2100 Block Brownsville RD Pittsburgh, PA 15210",40.39183252,-79.98735091,Carrick,3
124,59.0,M,W,M,Monday,08,August,2016,76.72,Clear,"1500 Block Edgebrook AV Pittsburgh, PA 15226",40.40189932,-80.00197543,Brookline,6
125,52.0,M,W,M,Monday,08,August,2016,76.72,Clear,"1300 Block Chartiers AV Pittsburgh, PA 15220",40.44758823,-80.04376167,Elliott,6
126,27.0,F,B,M,Monday,08,August,2016,76.72,Clear,"200 Block Atwood ST Pittsburgh, PA 15213",40.44042041,-79.95688887,Central Oakland,4
127,53.0,F,B,F,Monday,08,August,2016,76.72,Clear,"300 Block 6th AV Pittsburgh, PA 15222",40.44165074,-79.99945175,Golden Triangle/Civic Arena,2
128,44.0,F,B,M,Monday,08,August,2016,76.72,Clear,"Three Rivers Heritage TRL Pittsburgh, PA 15219",0.0,0.0,South Side Flats,3
129,34.0,M,W,M,Monday,08,August,2016,76.72,Clear,"Greentree RD & Mc Knight ST Pittsburgh, PA 15220",40.43537738,-80.03387785,West End,6
130,44.0,M,B,M,Monday,08,August,2016,76.72,Clear,"SIXTH PENN GARAGE Pittsburgh, PA 15219",0.0,0.0,Golden Triangle/Civic Arena,2
131,29.0,M,B,M,Monday,08,August,2016,76.72,Clear,"4900 Block Centre AV Pittsburgh, PA 15213",40.45313509,-79.94663115,Shadyside,4
132,34.0,M,W,M,Monday,08,August,2016,76.72,Clear,"2000 Block Penn AV Pittsburgh, PA 15222",40.45097636,-79.98357825,Strip District,2
133,22.0,M,B,M,Monday,08,August,2016,76.72,Clear,"200 Block Atwood ST Pittsburgh, PA 15213",40.44042041,-79.95688887,Central Oakland,4
134,29.0,M,W,M,Monday,08,August,2016,76.72,Clear,"6200 Block Penn AV Pittsburgh, PA 15206",40.46059432,-79.92271679,East Liberty,5
135,39.0,M,B,M,Monday,08,August,2016,76.72,Clear,"3100 Block Landis ST Pittsburgh, PA 15204",40.45647359,-80.05559692,Sheraden,6
136,18.0,M,B,F,Monday,08,August,2016,76.72,Clear,"400 Block Mt Pleasant RD Pittsburgh, PA 15214",40.47982925,-80.00190144,Northview Heights,1
137,25.0,M,B,M,Tuesday,09,August,2016,84.44,Mostly Cloudy,"200 Block Reifert ST Pittsburgh, PA 15210",40.40808736,-79.99214690000001,Knoxville,3
138,20.0,M,B,M,Tuesday,09,August,2016,84.44,Mostly Cloudy,"300 Block Cedar AV Pittsburgh, PA 15212",40.45089272,-80.00084389,East Allegheny,1
139,25.0,M,U,F,Tuesday,09,August,2016,84.44,Mostly Cloudy,"300 Block West Penn PL Pittsburgh, PA 15224",40.45494869,-80.00964027,Bloomfield,5
140,25.0,F,W,M,Tuesday,09,August,2016,84.44,Mostly Cloudy,"S 18th ST & Quarry WY Pittsburgh, PA 15210",40.42107087,-79.98524704,South Side Slopes,3
141,45.0,M,B,F,Tuesday,09,August,2016,84.44,Mostly Cloudy,"200 Block Atwood ST Pittsburgh, PA 15213",40.44042041,-79.95688887,Central Oakland,4
142,28.0,M,B,M,Tuesday,09,August,2016,84.44,Mostly Cloudy,"Kelly ST & Fifth AV Pittsburgh, PA 15208",40.45814136,-79.90843298,Homewood West,5
143,37.0,M,W,M,Tuesday,09,August,2016,84.44,Mostly Cloudy,"300 Block Cedar AV Pittsburgh, PA 15212",40.45089272,-80.00084389,East Allegheny,1
144,37.0,M,W,F,Tuesday,09,August,2016,84.44,Mostly Cloudy,"300 Block E North AV Pittsburgh, PA 15212",40.45494869,-80.00964027,Central Northside,1
145,66.0,M,W,M,Tuesday,09,August,2016,84.44,Mostly Cloudy,"Armstrong TUN Pittsburgh, PA 15219",0.0,0.0,South Oakland,2
146,28.0,F,W,M,Tuesday,09,August,2016,84.44,Mostly Cloudy,"300 Block Cedar AV Pittsburgh, PA 15212",40.45089272,-80.00084389,East Allegheny,1
147,30.0,M,W,M,Wednesday,10,August,2016,86.24,Humid,"Frankstown AV & East Hills DR Pittsburgh, PA 15221",40.46117979,-79.87041082,East Hills,5
148,58.0,M,B,M,Wednesday,10,August,2016,86.24,Humid,"7500 Block Hamilton AV Pittsburgh, PA 15208",40.45342153,-79.89248194,Homewood South,5
149,46.0,M,B,M,Wednesday,10,August,2016,86.24,Humid,"1000 Block Elbon ST Pittsburgh, PA 15220",40.44140051,-80.04123465,Elliott,6
150,26.0,F,B,M,Wednesday,10,August,2016,86.24,Humid,"300 Block Kingsboro ST Pittsburgh, PA 15211",40.42171779,-80.00155548,Mount Washington,3
151,35.0,M,W,M,Wednesday,10,August,2016,86.24,Humid,"Liberty Brg RAMP & Liberty BRDG Pittsburgh, PA 15219",0.0,0.0,Bluff,2
152,38.0,M,B,M,Wednesday,10,August,2016,86.24,Humid,"1100 Block Sutherland ST Pittsburgh, PA 15204",40.45436519,-80.06171844,Sheraden,6
153,48.0,M,B,F,Wednesday,10,August,2016,86.24,Humid,"OHIO TWP OHIO TWP,  ",0.0,0.0,Outside County,OSC
154,29.0,M,B,F,Wednesday,10,August,2016,86.24,Humid,"OHIO TWP OHIO TWP,  ",0.0,0.0,Outside County,OSC
155,26.0,M,B,M,Wednesday,10,August,2016,86.24,Humid,"Henderson ST & Sandusky CT Pittsburgh, PA 15212",40.45922713,-80.00562369,Fineview,1
156,51.0,F,W,M,Wednesday,10,August,2016,86.24,Humid,"10 Block Jacksonia ST Pittsburgh, PA 15212",40.45822813,-80.00805491,Central Northside,1
157,29.0,M,B,F,Wednesday,10,August,2016,86.24,Humid,"200 Block Kennedy AV Pittsburgh, PA 15214",40.47425994,-80.01053271,Perry South,1
158,25.0,F,B,M,Wednesday,10,August,2016,86.24,Humid,"3500 Block California AV Pittsburgh, PA 15212",40.47825349,-80.04027014,Brighton Heights,1
159,79.0,M,B,M,Wednesday,10,August,2016,86.24,Humid,"600 Block Pressley ST Pittsburgh, PA 15212",40.45221085,-79.99867635,East Allegheny,1
160,27.0,F,B,M,Wednesday,10,August,2016,86.24,Humid,"General Robinson ST & Federal ST Pittsburgh, PA 15212",40.44824568,-80.00425006,North Shore,1
161,30.0,F,B,M,Thursday,11,August,2016,86.65,Humid and Mostly Cloudy,"600 Block Sickles ST Pittsburgh, PA 15221",40.45147202,-79.8824703,East Hills,5
162,21.0,F,B,M,Thursday,11,August,2016,86.65,Humid and Mostly Cloudy,"2300 Block East Hills DR Pittsburgh, PA 15221",40.45656464,-79.87136146,East Hills,5
163,45.0,F,W,M,Thursday,11,August,2016,86.65,Humid and Mostly Cloudy,"40 Block Maytide ST Pittsburgh, PA 15227",40.38445001,-79.97988396,Carrick,3
