18 Pa.C.S. §  ,DESCRIPTION,STATUTORY CLASS,§  303.3 OFFENSE GRAVITY SCORE,§  303.7
2706(a)(2),Terroristic threats-cause evacuation of building,M-1,3,m
2706(a)(2),Terroristic threats-cause evacuation of building/divert from activities,F-3,5,1
2706(a)(3),Terroristic threats-serious public inconvenience,M-1,3,m
2706(a)(3),Terroristic threats-serious public inconvenience/divert from activities,F-3,5,1
2707(a),Propulsion of missiles into an occupied vehicle,M-1,3,m
2707(b),Propulsion of missiles onto a roadway,M-2,2,m
2707.1(a),Discharge of firearm into an occupied structure,F-3,10,1
2708(a),Use of tear gas in labor dispute,M-1,3,m
2709(a)(1),Harassment-subject other physical contact (prev. violation of order),M-3,1,m
2709(a)(2),Harassment-follow in public place (prev. violation of order),M-3,1,m
2709(a)(3),Harassment-course of conduct w/ no legitimate purpose (prev. violation of order),M-3,1,m
2709(a)(4),Harassment-lewd communication,M-3,1,m
2709(a)(5),"Harassment-repeated, anonymous communication",M-3,1,m
2709(a)(6),Harassment-repeated communication: inconvenient hours,M-3,1,m
2709(a)(7),Harassment-repeated communication: other,M-3,1,m
2709(a.1)(1)(i),Cyber harassment of a child; seriously disparaging statements or opinion (course of conduct),M-3,1,m
2709(a.1)(1)(ii),Cyber harassment of a child; threat to inflict harm (course of conduct),M-3,1,m
2709.1(a)(1),Stalking-repeated acts to cause fear of BI (1st off),M-1,4,m
2709.1(a)(1),Stalking-repeated acts to cause fear of BI (2nd/subsq off),F-3,6,1
2709.1(a)(1),Stalking-repeated acts to cause fear of BI (prior crime of violence),F-3,6,1
2709.1(a)(2),Stalking-course of conduct to cause fear of,M-1,4,m
,BI (1st off),,,
2709.1(a)(2),Stalking-course of conduct to cause fear of,F-3,6,1
,BI (2nd/subsq off),,,
2709.1(a)(2),Stalking-course of conduct to cause fear of,F-3,6,1
,BI (prior crime of violence),,,
2710,Ethnic Intimidation,18 Pa.C.S. §  2710(b),See §  303.3(d),See §  303.8(c)
2712(a),Assault-sports official,M-1,3,m
2713(a)(1),Neglect of care-dependent person-no treatment (cause SBI),F-1,10,3
2713(a)(1),Neglect of care-dependent person-no treatment (cause BI),M-1,4,m
2713(a)(2),Neglect of care-dependent person-physical/,F-1,10,3
,chemical restraint (cause SBI),,,
2713(a)(2),Neglect of care-dependent person-physical/,M-1,4,m
,chemical restraint (cause BI),,,
2714,Unauthorized administration of intoxicant,F-3,8,1
2715(a)(3),Threat to use weapons of mass destruction-,M-1,3,m
,reports w/o knowledge,,,
2715(a)(3),Threat to use weapons of mass destruction-,F-3,5,1
,reports w/o knowledge (divert from activities),,,
2715(a)(3),Threat to use weapons of mass destruction-,F-2,7,2
,reports w/o knowledge (during emergency),,,
2715(a)(4),Threat to use weapons of mass destruction-,M-1,3,m
,threaten placement,,,
2715(a)(4),Threat to use weapons of mass destruction-,F-3,7,1
,threaten placement (divert from activities),,,
2715(a)(4),Threat to use weapons of mass destruction-,F-2,7,2
,threaten placement (during emergency),,,
2716(a),Weapons of mass destruction-possession (1st off),F-2,7,2
2716(a),Weapons of mass destruction-possession,F-1,11,4
,(2nd/subsq off),,,
2716(b)(1),Weapons of mass destruction-use (cause death),Murder of 2nd Degree,18 Pa.C.S. §  1102(b),4
2716(b)(1),Weapons of mass destruction-use (cause injury/illness),F-1,13,4
2716(b)(2),Weapons of mass destruction-use (cause damage/disrupt water/food),F-1,13,4
2716(b)(3),Weapons of mass destruction-use (cause evacuation of building etc.),F-1,13,4
2717(a)(1),Terrorism-intim/coerce population (where violent offense is F-1),F-1,one point higher than object offense,4
2717(a)(1),Terrorism-intim/coerce population (where violent offense is F-2),F-1,one point higher than object offense,3
2717(a)(1),Terrorism-intim/coerce population (where violent offense is F-3 or ungraded felony),F-2,one point higher than object offense,See §  303.7(a)
2717(a)(1),Terrorism-intim/coerce population (where violent offense is M-1),F-3,one point higher than object offense,See §  303.7(a)
2717(a)(1),Terrorism-intim/coerce population (where violent offense is M-2),M-1,one point higher than object offense,See §  303.7(a)
2717(a)(1),Terrorism-intim/coerce population (where violent offense is M-3),M-2,one point higher than object offense,See §  303.7(a)
2717(a)(2),Terrorism-influence govt (where violent offense is F-1),F-1,one point higher than object offense,4
2717(a)(2),Terrorism-influence govt (where violent offense is F-2),F-1,one point higher than object offense,3
2717(a)(2),Terrorism-influence govt (where violent offense is F-3 or ungraded felony),F-2,one point higher than object offense,See §  303.7(a)
2717(a)(2),Terrorism-influence govt (where violent offense is M-1),F-3,one point higher than object offense,See §  303.7(a)
2717(a)(2),Terrorism-influence govt (where violent offense is M-2),M-1,one point higher than object offense,See §  303.7(a)
2717(a)(2),Terrorism-influence govt (where violent offense is M-3),M-2,one point higher than object offense,See §  303.7(a)
2718(a)(1),Strangulation-applying pressure to throat or neck,M-2,3,m
2718(a)(1),Strangulation-applying pressure to throat or neck,F-2,9,2
2718(a)(1),Strangulation-applying pressure to throat or neck,F-1,10,3
2718(a)(2),Strangulation-blocking nose and mouth,M-2,3,m
2718(a)(2),Strangulation-blocking nose and mouth,F-2,9,2
2718(a)(2),Strangulation-blocking nose and mouth,F-1,10,3
2901(a)(1),Kidnapping-for ransom (victim ›=18 yrs),F-1,10,4
2901(a)(2),Kidnapping-to facilitate a felony (victim ›=18 yrs),F-1,10,4
2901(a)(3),"Kidnapping-to inflict terror, BI (victim ›=18 yrs)",F-1,10,4
2901(a)(4),Kidnapping-to interfere w/ performance of pub. official (victim ›=18 yrs),F-1,10,4
2901(a.1)(1)*,"Kidnapping-minor, for ransom/etc. (victim 14-‹18 yrs)",F-1,10,4
2901(a.1)(1)*,"Kidnapping-minor, for ransom/etc. (victim ‹14 yrs)",F-1,10,4
2901(a.1)(2)*,"Kidnapping-minor, to facilitate felony (victim 14-‹18 yrs)",F-1,10,4
2901(a.1)(2)*,"Kidnapping-minor, to facilitate felony (victim ‹14 yrs)",F-1,10,4
2901(a.1)(3)*,"Kidnapping-minor, to inflict terror, BI (victim 14-‹18 yrs)",F-1,10,4
2901(a.1)(3)*,"Kidnapping-minor, to inflict terror, BI (victim ‹14 yrs)",F-1,10,4
2901(a.1)(4)*,"Kidnapping-minor, to interfere w/ pub.",F-1,10,4
,official (victim 14-‹18 yrs),,,
2901(a.1)(4)*,"Kidnapping-minor, to interfere w/ pub.",F-1,10,4
,official (victim ‹14 yrs),,,
2902(a)(1),Unlawful restraint-risk SBI,M-1,3,m
2902(a)(2),Unlawful restraint-involuntary servitude,M-1,3,m
2902(b)(1),Unlawful restraint-risk SBI (victim ‹18 yrs),F-2,8,2
2902(b)(2),Unlawful restraint-involuntary servitude (victim ‹18 yrs),F-2,8,2
2902(c)(1),Unlawful restraint by parent-risk SBI (victim ‹18 yrs),F-2,8,2
2902(c)(2),Unlawful restraint by parent-involuntary servitude (victim ‹18 yrs),F-2,8,2
2903(a),False imprisonment (victim ›=18 yrs),M-2,2,m
2903(b),False imprisonment (victim ‹18 yrs ),F-2,8,2
2903(c),False imprisonment by parent (victim,F-2,7,2
,‹18 yrs),,,
2904(a),Interfere with custody of children,F-3,6,1
2904(a),Interfere with custody of children-good,M-2,3,m
,cause/time ‹24 hrs.,,,
2904(a),Interfere with custody of children-w/ reckless disregard,F-2,8,2
2905(a),Interfere with custody of committed person,M-2,4,m
2906(a)(1),Criminal coercion-threat to commit crime,M-2,2,m
2906(a)(1),Criminal coercion-threat to commit crime (felony),M-1,3,m
2906(a)(2),Criminal coercion-threat to accuse of crime,M-2,2,m
2906(a)(2),Criminal coercion-threat to accuse of crime (felony),M-1,3,m
2906(a)(3),Criminal coercion-threat to expose secret,M-2,2,m
2906(a)(3),Criminal coercion-threat to expose secret (felony),M-1,3,m
2906(a)(4),Criminal coercion-threaten official act,M-2,2,m
2906(a)(4),Criminal coercion-threaten official act,M-1,3,m
,(felony),,,
2907,Disposition of ransom,F-3,5,1
2909(b)(1),Concealment of whereabouts of a child-in Commonwealth,F-3,4,1
2909(b)(2),Concealment of whereabouts of a child-parents in Commonwealth,F-3,4,1
2910(a),Luring child into motor vehicle/structure,M-1,5,1
2910,Luring a child into motor vehicle/structure (child ‹13 yrs),F-2,8,2
3011(a)(1),"Human trafficking-trafficking in individuals (recruits, entices, solicits, harbors, etc.)",F-2,9,2
3011(a)(2),Human trafficking-trafficking in individuals (knowingly benefits financially),F-2,9,4
3011(b),Human trafficking-trafficking in minors (activities in (a) result in minor’s sexual servitude),F-1,12,4
3012(b)(1)*,Human trafficking-involuntary servitude,F-1,10,3
,(cause serious harm),,,
3012(b)(1)*,Human trafficking-involuntary servitude (threaten serious harm),F-1,9,3
3012(b)(2)*,Human trafficking-involuntary servitude (physically restrain another),F-1,10,3
3012(b)(2)*,Human trafficking-involuntary servitude (threaten to physically restrain another),F-1,9,3
3012(b)(3)*,Human trafficking-involuntary servitude (kidnap),F-1,11,4
3012(b)(3)*,Human trafficking-involuntary servitude (attempt to kidnap),F-1,10,3
3012(b)(4)*,Human trafficking-involuntary servitude (abuse legal process),F-1,10,3
3012(b)(4)*,Human trafficking-involuntary servitude (threaten to abuse legal process),F-1,9,3
3012(b)(5),Human trafficking-involuntary servitude (taking/retaining personal property),F-1,10,3
3012(b)(6),Human trafficking-involuntary servitude (unlawful conduct of documents),F-1,10,3
3012(b)(7),Human trafficking-involuntary servitude (extortion),F-1,10,3
3012(b)(8),Human trafficking-involuntary servitude (fraud),F-1,10,3
3012(b)(9),Human trafficking-involuntary servitude (criminal coercion),F-1,10,3
3012(b)(10)*,Human trafficking-involuntary servitude (duress through force),F-1,10,3
3012(b)(10)*,Human trafficking-involuntary servitude (duress through threat of force),F-1,9,3
3012(b)(11),Human trafficking-involuntary servitude (debt coercion),F-1,10,3
3012(b)(12),Human trafficking-involuntary servitude (facilitate/restrict access to controlled substance),F-1,10,3
3012(b)(13),Human trafficking-involuntary servitude (cause believe harm/restraint to another),F-1,10,3
3013(a),Human trafficking-patronizing victim of sexual servitude,F-2,10,2
3014(1),Human trafficking-unlawful conduct,F-3,6,1
,regarding documents (passport/other immigration document),,,
3014(2),Human trafficking-unlawful conduct,F-3,6,1
,regarding documents (government ID document),,,
3015(a)(1),"Human trafficking-nonpayment of wages (‹$2,000)",M-3,2,m
3015(a)(2)(i),"Human trafficking-monpayment of wages (=›$2,000)",F-3,6,1
3015(a)(2)(ii),Human trafficking-nonpayment of wages (2nd/subsq. violation),F-3,6,1
3015(a)(2)(iii),Human trafficking-nonpayment of wages (falsely denies amount due or validity of claim),F-3,6,1
3016,Human trafficking-obstruction of justice; interfere with enforcement of Chapter 30,Same as corresponding offense under 18 Pa.C.S. Chapter 30,Same as corresponding offense under 18 Pa.C.S. Chapter 30,Same as corresponding offense under 18 Pa.C.S. Chapter 30
3121(a)(1),Rape-forcible compulsion,F-1,12,4
3121(a)(1),Rape-forcible compulsion (uses substance to impair),F-1,13,4
3121(a)(2),Rape-threat of forcible compulsion,F-1,12,4
3121(a)(2),Rape-threat of forcible compulsion (uses substance to impair),F-1,13,4
3121(a)(3),Rape-unconscious victim,F-1,12,4
3121(a)(3),Rape-unconscious victim (uses substance to impair),F-1,13,4
3121(a)(4),Rape-substantially impaired victim,F-1,12,4
3121(a)(4),Rape-substantially impaired victim (uses substance to impair),F-1,13,4
3121(a)(5),Rape-mentally disabled victim,F-1,12,4
3121(a)(5),Rape-mentally disabled victim (uses,F-1,13,4
,substance to impair),,,
3121(c),Rape-child (victim ‹13 yrs),F-1,14,4
3121(d),Rape-child w/ SBI (victim ‹13 yrs),F-1,14,4
3122.1(a)(1),Statutory sexual assault-victim ‹16 yrs (person 4-‹8 yrs older),F-2,7,2
3122.1(a)(2),Statutory sexual assault-victim ‹16 yrs (person 8-‹11 yrs older),F-2,8,2
3122.1(b),Statutory sexual assault-victim ‹16 yrs (person ›=11 yrs older),F-1,9,3
3123(a)(1),IDSI-forcible compulsion,F-1,12,4
3123(a)(2),IDSI-threat of forcible compulsion,F-1,12,4
3123(a)(3),IDSI-unconscious victim,F-1,12,4
3123(a)(4),IDSI-substantially impaired victim,F-1,12,4
3123(a)(5),IDSI-mentally disabled victim,F-1,12,4
3123(a)(7),IDSI-victim ‹16 yrs (person ›=4 yrs older),F-1,12,4
3123(b),IDSI-child (victim ‹13 yrs),F-1,14,4
3123(c),IDSI-child w/ SBI (victim ‹13 yrs),F-1,14,4
3124.1,Sexual assault,F-2,11,4
3124.2(a),Institutional sexual assault-generally,F-3,6,1
3124.2(a.1),Institutional sexual assault-minor (victim,F-3,6,1
,‹18 yrs),,,
3124.2(a.2),Institutional sexual assault-by school volunteer/employee,F-3,6,1
3124.2(a.3),Institutional sexual assault-by child care volunteer/employee,F-3,6,1
3124.3(a),Sexual assault by sports official of non-profit association,F-3,6,1
3124.3(b),Sexual assault by volunteer or employee of non-profit association,F-3,6,1
3125(a)(1),Aggravated indecent assault-w/o consent,F-2,10,4
3125(a)(1),Aggravated indecent assault-of a child w/out consent (victim ‹13 yrs),F-1,12,4
3125(a)(2),Aggravated indecent assault-forcible compulsion,F-2,10,4
3125(a)(2),Aggravated indecent assault-of a child/,F-1,12,4
,forcible compulsion (victim ‹13 yrs),,,
3125(a)(3),Aggravated indecent assault-threat of forcible compulsion,F-2,10,4
3125(a)(3),Aggravated indecent assault-of a child/threat of forcible compulsion (victim ‹13 yrs),F-1,12,4
3125(a)(4),Aggravated indecent assault-unconscious victim,F-2,10,4
3125(a)(4),Aggravated indecent assault-of a child/unconscious victim (victim ‹13 yrs),F-1,12,4
3125(a)(5),Aggravated indecent assault-substantially impaired victim,F-2,10,4
3125(a)(5),Aggravated indecent assault-of a child/substantially impaired victim (‹13 yrs),F-1,12,4
3125(a)(6),Aggravated indecent assault-mentally,F-2,10,4
,disabled victim,,,
3125(a)(6),Aggravated indecent assault-of a child/mentally disabled victim (‹13 yrs),F-1,12,4
3125(a)(7),Aggravated indecent assault-victim ‹13 yrs,F-2,10,4
3125(a)(8),Aggravated indecent assault-victim ‹16 yrs (person ›=4 yrs older),F-2,10,4
3126(a)(1),Indecent assault-w/o consent,M-2,4,m
3126(a)(2),Indecent assault-forcible compulsion,M-1,5,m
3126(a)(3),Indecent assault-threat of forcible compulsion,M-1,5,m
3126(a)(4),Indecent assault-unconscious victim,M-1,5,m
3126(a)(5),Indecent assault-substantially impaired victim,M-1,5,m
3126(a)(6),Indecent assault-mentally disabled victim,M-1,5,m
3126(a)(7),Indecent assault-victim ‹13 yrs,M-1,5,1
3126(a)(7),Indecent assault-victim ‹13 yrs (2nd/subsq),F-3,6,1
3126(a)(7),Indecent assault-victim ‹13 yrs/course of conduct,F-3,6,1
3126(a)(7),Indecent assault-victim ‹13 yrs/touching victim’s sexual parts w/ person’s,F-3,6,1
3126(a)(7),Indecent assault-victim ‹13 yrs/touching person’s sexual parts w/ victim’s,F-3,6,1
3126(a)(8),Indecent assault-victim ‹16 yrs (person ›=4 yrs older),M-2,4,m
3127(a),Indecent exposure,M-2,3,m
3127(a),Indecent exposure-victim ‹16 yrs,M-1,4,1
3129,Sexual intercourse with animal,M-2,2,m
3130(a)(1),Conduct relating to sex offenders-withhold information,F-3,5,1
3130(a)(2),Conduct relating to sex offenders-harbor sex offender,F-3,5,1
3130(a)(3),Conduct relating to sex offenders-conceal sex offender,F-3,5,1
3130(a)(4),Conduct relating to sex offenders-provide false information,F-3,5,1
3131(a),Unlawful dissemination of intimate image (person depicted is minor ‹18 yrs),M-1,3,m
3131(a),Unlawful dissemination of intimate image (person depicted is not minor =›18 yrs),M-2,2,m
3301(a)(1)(i)*,Arson endangering persons-danger of death (person in building or BI results),F-1,10,4
3301(a)(1)(i)*,Arson endangering persons-danger of death (no person in building and no BI),F-1,9,4
3301(a)(1)(i)*,Arson endangering persons-danger of death (cause SBI to civilian),F-1,11,4
3301(a)(1)(i)*,"Arson endangering persons-danger of death (cause BI to firefighter, etc.)",F-1,11,4
3301(a)(1)(ii)*,Arson endangering persons-inhabited building (person in building or BI results),F-1,10,4
3301(a)(1)(ii)*,Arson endangering persons-inhabited building (no person in building and no BI),F-1,9,4
3301(a)(1)(ii)*,Arson endangering persons-inhabited building (cause SBI to civilian),F-1,11,4
3301(a)(1)(ii)*,"Arson endangering persons-inhabited building (cause BI to firefighter, etc.)",F-1,11,4
3301(a)(2),Arson endangering persons-cause death w/ intent (murder-1st degree),Murder of 1st Degree,18 Pa.C.S. §  1102(a),4
3301(a)(2),Arson endangering persons-cause death (murder-2nd degree),Murder of 2nd Degree,18 Pa.C.S. §  1102(b),4
3301(a.1)(1)(i)*,Aggravated arson-attempt BI to civilian,F-1,10,4
3301(a.1)(1)(i)*,Aggravated arson-cause BI to civilian,F-1,11,4
3301(a.1)(1)(i)*,Aggravated arson-attempt SBI to civilian,F-1,11,4
3301(a.1)(1)(i)*,Aggravated arson-cause SBI to civilian,F-1,12,4
3301(a.1)(1)(i)*,"Aggravated arson-attempt BI to firefighter, etc.",F-1,11,4
