Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Memberships Sold,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
8/29/2014,34292,12168287,59371,21183331,121522,99,1329,109
8/30/2014,25239,12193526,52782,21236113,121610,88,2442,99
8/31/2014,20097,12213623,41594,21277707,121690,80,1952,89
9/1/2014,26055,12239678,51270,21328977,121809,119,2083,105
9/2/2014,34005,12273683,53842,21382819,121979,170,693,121
9/3/2014,38998,12312681,62736,21445555,122124,145,789,148
9/4/2014,40022,12352703,64563,21510118,122248,124,816,125
9/5/2014,38325,12391028,64421,21574539,122356,108,1111,121
9/6/2014,28290,12419318,51519,21626058,122438,82,1674,105
9/7/2014,32524,12451842,65394,21691452,122555,117,2222,115
9/8/2014,38091,12489933,60610,21752062,122697,142,818,118
9/9/2014,38101,12528034,59026,21811088,122818,121,620,99
9/10/2014,41634,12569668,69561,21880649,122915,97,981,104
9/11/2014,40864,12610532,65798,21946447,123006,91,844,90
9/12/2014,41341,12651873,75561,22022008,123111,105,1195,103
9/13/2014,19110,12670983,31600,22053608,123192,81,842,67
9/14/2014,31589,12702572,62963,22116571,123309,117,2290,117
9/15/2014,39044,12741616,64983,22181554,123421,112,858,118
9/16/2014,28285,12769901,43250,22224804,123521,100,484,61
9/17/2014,41347,12811248,67758,22292562,123636,115,916,121
9/18/2014,41145,12852393,67840,22360402,123718,82,887,115
9/19/2014,38162,12890555,62500,22422902,123796,78,979,90
9/20/2014,32951,12923506,64838,22487740,123850,54,2464,122
9/21/2014,28530,12952036,54319,22542059,123926,76,1693,90
9/22/2014,36624,12988660,59024,22601083,124044,118,748,84
9/23/2014,40105,13028765,66590,22667673,124124,80,841,106
9/24/2014,38976,13067741,62834,22730507,124230,106,719,100
9/25/2014,18282,13086023,26019,22756526,124291,61,165,24
9/26/2014,38394,13124417,66227,22822753,124376,85,1297,118
9/27/2014,33322,13157739,69724,22892477,124433,57,2712,118
9/28/2014,32080,13189819,64811,22957288,124532,99,2259,129
9/29/2014,36896,13226715,59305,23016593,124645,113,689,114
9/30/2014,39061,13265776,59970,23076563,124734,89,613,65
